lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01000954,Camden 022C,13.4,12,23.1,44.1,19.3,6.4,79.1,79.3,8.1
E01000955,Camden 022D,10.4,12.2,14.5,51.5,13.7,1.5,84,73.1,9.2
E01000956,Camden 022E,10.9,12.7,14,41.2,13.8,4.6,58.1,80.4,7.1
E01000944,Camden 023A,11.8,11.5,15.1,48.2,9.3,7.8,52.9,84.3,6.2
E01000945,Camden 023B,6.8,15.5,11.8,46.8,10.6,8.2,42.4,85.8,4.3
E01000949,Camden 023C,8.5,16.9,14.6,59.8,10.5,4.2,80,79.5,5.2
E01000950,Camden 023D,13.4,9.5,17.8,39.7,12.1,5.8,67.1,77.6,8.8
E01000951,Camden 023E,13.5,12.3,14.4,46.4,12.1,8.6,63.8,77.8,7.6
E01000936,Camden 024A,10.2,16.2,18.5,48.9,15.2,10.8,50.6,85.9,5.4
E01000938,Camden 024B,10.5,13,17.1,46.1,18.4,5.3,47.8,85.4,5
E01000939,Camden 024C,13.7,12.6,14.8,33.4,13.4,5.8,63.7,78.7,7
E01000940,Camden 024D,12.2,17,9.7,51.3,9.4,4.1,65.9,80.5,6.3
E01000853,Camden 025A,13.4,12.3,11.4,59.7,11.6,9.8,63.1,72.7,10.3
E01000937,Camden 025B,7.3,13.5,7.2,52.3,7.8,12.4,24.7,88.9,3.9
E01000941,Camden 025C,12.1,13.8,16.3,47.5,12.3,4.7,77,74,9.8
E01000942,Camden 025D,4.3,15.6,5.1,60.4,3.7,19.4,23,89.5,2.4
E01000943,Camden 025E,7.6,13.6,5.9,63.7,5.8,15.4,25.2,85.8,4.3
E01000850,Camden 026A,3.1,20.2,2.9,63.9,4.3,17,17.9,88.6,3.8
E01000851,Camden 026B,3.9,18.1,3.6,61.9,5,13.1,17.1,91.3,2.6
E01000852,Camden 026C,4.2,12.3,3.7,58.8,3.6,19.4,24.6,88,3.2
E01000854,Camden 026D,6.5,14.8,8.4,41.7,12.5,11.8,33.8,86.5,5.2
E01000915,Camden 027A,10.3,18.3,12.3,49.6,9.2,7.9,59.1,79.3,8.4
E01000916,Camden 027B,5.7,20.4,10.9,62.6,7.8,13.2,38.4,84,6.2
E01000917,Camden 027C,14,11.8,14.3,51.6,12.8,3.7,74.5,75,9.4
E01000920,Camden 027D,5.7,20.2,8.1,68.4,6.3,12.3,33.3,84.7,5
E01000855,Camden 028A,4.5,13.4,1.5,71.5,3.7,22.3,16.7,85.1,3.6
E01000914,Camden 028B,5,18.2,5.4,67.9,5.7,15.5,21.1,86.7,4.5
E01000918,Camden 028C,7.6,17.3,5.8,62.6,6.2,14.3,40.7,82.2,5.9
E01000919,Camden 028D,4.7,15.9,7.7,56.9,5.8,10.4,36.6,85.6,4.5
E01000001,City of London 001A,3.5,30.6,2.6,84.5,0.8,40.5,4.7,88.6,2
E01000002,City of London 001B,1.7,30.7,2.7,88.7,0.3,37.8,5.8,89.9,2.7
E01000003,City of London 001C,4.7,19.1,6,78.4,3.3,22.5,36.1,80.7,6.2
E01000005,City of London 001E,8.7,14.3,9.4,51.4,10.2,5.1,66.8,79.4,7.3
E01032739,City of London 001F,2.7,23.5,1.5,77.9,0.9,15.4,1.6,95.3,0.6
E01032740,City of London 001G,3.3,22.1,0.7,83.1,2.2,15.6,2.5,94.1,1.5
E01001808,Hackney 001A,8.1,16.7,4.5,79.5,4.1,13.3,14.3,91.1,2.6
E01001809,Hackney 001B,9.7,17.5,9.5,67.9,9.7,15.6,29.3,86.8,3.3
E01001814,Hackney 001C,8.8,18.2,9.3,64.3,12.5,11.1,22.9,87.5,4.4
E01001823,Hackney 001D,14,15.2,12.8,61.6,15.8,13.8,35.9,86.9,4.8
E01001825,Hackney 001E,9.4,21,6.5,81.4,4.9,19.2,13.1,90.4,3.1
E01001714,Hackney 002A,10.3,12.5,19.8,49.7,26,5.9,59.7,76.2,8.1
E01001811,Hackney 002D,13.5,10.5,23.2,43.1,30.1,3.7,70.7,74.7,10.4
E01001813,Hackney 002E,12.8,11.8,23.2,41.3,29,5.1,67.8,76,9.9
E01033701,Hackney 002F,16.1,8.9,25.8,40,31.3,3.7,70,74.5,11.4
E01001799,Hackney 003A,8.1,20.4,6.4,75.3,8.2,17.3,17.5,89.4,2.3
E01001802,Hackney 003B,9.2,16.3,14.6,65.8,13.1,10,49.7,81.5,6.8
E01001804,Hackney 003C,6.7,21.3,10.1,72.6,8.8,15.7,28.2,87.2,5
E01001807,Hackney 003D,11.8,19.8,12.4,61,19.7,10.2,41.6,85.6,5.6
E01001812,Hackney 003E,10.9,16.3,11.2,69.1,13.2,8.3,45.3,84.2,6.4
E01001725,Hackney 004A,11.2,15.9,12.4,61.5,14.4,13.6,32.1,86.8,4.5
E01001726,Hackney 004B,14,12.7,24.4,41.3,30.3,6.7,54.7,83.9,5.2
E01001800,Hackney 004C,11.2,11.7,15.4,59.7,20.3,5.1,60.2,82.3,7.3
E01001824,Hackney 004D,14.5,15.8,17.6,56.9,21.8,9.1,50.3,82.5,6.3
E01001826,Hackney 004E,10.7,13.3,15.6,61.3,17,9.6,39.1,83.6,6.4
E01001723,Hackney 006A,7.3,22.8,8.3,59.3,9.7,15.5,19.5,86.4,5
E01001724,Hackney 006B,6.1,18.5,7.7,63.6,11.2,9.1,17.3,87.9,4.2
E01001727,Hackney 006C,6,17.8,8.2,62.8,12.7,15.7,23.7,90.2,3.6
E01001768,Hackney 006D,7.4,19.9,12.7,56.8,19.3,12.8,24.9,83.1,5.7
E01001769,Hackney 006E,10,19.6,11.8,53.7,22.6,11.9,38.2,84.1,4.5
E01001715,Hackney 007A,5.9,21.1,5.8,70.5,10.9,7.7,16.6,88.9,3.2
E01001716,Hackney 007B,6.8,17.7,9.8,56.7,19.7,7.3,34.1,80.7,6.6
E01001717,Hackney 007C,7.4,21.5,14.5,58.9,13.3,15,35.8,85.2,6.7
